team_id_hash,match_id_hash,match_date,formation,duration
a7a83ee79b754c71e78958b7b04a77fc82650054deb193b9dd83f8f182e3dcf7,c960d629ec1f3c00846a9aa7c4f608f6093eac3763ad8d2667b7549977e85da5,2022-07-05,9773731317f9d3d54edb333c71fbef924a3aa89122b49b332350fdaef6edc9a5,91
82b5be26a3a9ce683294904d14bdf5b43635ce5f1309fd77b369bf08eb1ea067,b2ef6d77bc4ccd50b3ecae2139f82c963478008fdee7d909e7d238a68f80aef0,2022-07-06,ad231203ec9e089c77ed69cb2dbfee092f1dcbefa7d89d2005f46e8e323766b9,91
2ed2605e07a059867ba6d547d05f4f7f42380ae2ad0d447f9ec1c6c3a1a1ffbd,70a89b12ed8a6db3f14ed261aade8305242eec578d22a7b24c2ffdbb9cdb8dc2,2022-07-06,a778589b6870131bbf43831a52051c74814f918f2b61643e418728079e23be2a,92
0a7df165fb58923b3d7b640717df0fd038e6e4db625f991dd615de4f56e77b6f,e765607929601975b3fc688f7dd3e65291698bfbc71784d00d55a61d34b1effd,2022-07-06,097d9d4ff369e9eb700eae4ee8bcde00990512a21ce7249c6a0080b7a393c707,91
a7a83ee79b754c71e78958b7b04a77fc82650054deb193b9dd83f8f182e3dcf7,4cc3fe9f637b66190d260acc13b1e8b3f642234084df3a06c52106dbff625c44,2022-09-03,9773731317f9d3d54edb333c71fbef924a3aa89122b49b332350fdaef6edc9a5,92
2ef1626e26c0285e02f825d4f098ce51350b7c08e83d73e94bd87a0595863968,d6f8aaabdea686ef8385b623441c333bf7d744e85c425b2e276a9df075381717,2022-07-06,097d9d4ff369e9eb700eae4ee8bcde00990512a21ce7249c6a0080b7a393c707,92
67b8027f60bd93e58657fbfa2954f6cf482ee1db7cbe81f938a005e742894b6e,d6f8aaabdea686ef8385b623441c333bf7d744e85c425b2e276a9df075381717,2022-07-06,097d9d4ff369e9eb700eae4ee8bcde00990512a21ce7249c6a0080b7a393c707,92
e410e4d443081fdf77ca0df9ef8155c919b8403cbc81134af8c72aece3ee164c,None,None,d3e0882b9290830480e790ba508c0cf6587682335f948eb800e60ad40c9646a7,0
fc99e6dcd13bccb0c675d404adfeb32d605cbfc41dfc6d83ea8c35296be46cea,None,None,d3e0882b9290830480e790ba508c0cf6587682335f948eb800e60ad40c9646a7,0
fdf022eaef2c0c8b4cb494a54ee2f3e1b3ce41b19b7583b98e79a46691413e49,dd42fd6dde52f6857bc009db3d112fab3dc15b23c8ddf7162f481ceea538c52e,2022-07-06,b8c743c0104227b102b7e781272c8a2791a0103046975e57b822b9dab6bfec16,121
ccc06e1742fe5bab4d5eb0cdfdcc1f7bab40bb39602a585da245338ab5344eb6,32c5142c7b955f5e464cfddd7d5049dc8957acdce523eaa93f7f13b2e78ad74a,2022-07-06,097d9d4ff369e9eb700eae4ee8bcde00990512a21ce7249c6a0080b7a393c707,121
fbdb29f00cdaf27a2b9b5cced7bcd6daf5755d17e3919e594411508341a37947,32c5142c7b955f5e464cfddd7d5049dc8957acdce523eaa93f7f13b2e78ad74a,2022-07-06,c0836db0c3c1e48a2d6abf7dbe2563f16c41777cc8a3d1ede87034e79cb0bfc4,121
ae6e32d1aae54ad3ddae837df65fe1f821a21037c3f4902cb15a47d5f7b9347d,d7af07287257888eba2567fee1a8bfec8315ed368fe5ace7ce8b6dc4ddf6a6a9,2022-07-06,30bf05477409ec940a2cbe7c3f2e840a2bcb1d8173c3e41a4921b725ef09738c,92
6007907a2007ec9966ddf4c1c59693deafbaded40c0dadf5cdd6cf3e6d17e7db,732302f58975b0a74a1e5d3f955784b0bf0d4ec20b63105ef5568b8d1f1b7864,2022-07-06,9d5f8e49358b681222fff5e2c991ba500a542a9628fa203c46564492cc0cc0a6,91
82b5be26a3a9ce683294904d14bdf5b43635ce5f1309fd77b369bf08eb1ea067,db296e8098a1ca310bf496ab8214a98c8a74be897f2a363d13af94bfc5ddd271,2022-09-03,3c683ab9967035a00d618e7f6c12a09f4b572469382570054a116e527d974805,93
2ed2605e07a059867ba6d547d05f4f7f42380ae2ad0d447f9ec1c6c3a1a1ffbd,c9461d49cdccb10544adc7964b3f62b0806c28a80d7ab99b640ef12633ce5670,2022-09-03,9d5f8e49358b681222fff5e2c991ba500a542a9628fa203c46564492cc0cc0a6,91
